id,de,en
DEBUG_CUTSCENES_COMMANDS_LIST_MOVEMENT,Bewegung,Movement
DEBUG_CUTSCENES_COMMANDS_LIST_CAMERA,Kamera,Camera
DEBUG_CUTSCENES_COMMANDS_LIST_FLOW_CONTROL,Ablaufsteuerung,Flow Control
DEBUG_CUTSCENES_COMMANDS_LIST_TIMING,Timing,Timing
DEBUG_CUTSCENES_COMMANDS_LIST_ITEMS,Items,Items
DEBUG_CUTSCENES_COMMANDS_LIST_AUDIO,Audio,Audio
DEBUG_CUTSCENES_COMMANDS_LIST_MISC,Sonstiges,Misc
DEBUG_CUTSCENES_COMMANDS_SET_MOVE_ROUTE,Bewegungsroute Setzen,Set Move Route
DEBUG_CUTSCENES_COMMANDS_CHANGE_DIR,Richtung Ändern,Change Direction
DEBUG_CUTSCENES_COMMANDS_TWEEN,Tween,Tween
DEBUG_CUTSCENES_COMMANDS_PLAY_ANIM,Animation Abspielen,Play Animation
DEBUG_CUTSCENES_COMMANDS_TELEPORT_OBJECT,Objekt Teleportieren,Teleport Object
DEBUG_CUTSCENES_COMMANDS_JUMP,Springen,Jump
DEBUG_CUTSCENES_COMMANDS_MOVE_FREE_CAMERA,Freie Kamera Bewegen,Move Free Camera
DEBUG_CUTSCENES_COMMANDS_CHANGE_CAMERA,Kamera Ändern,Change Camera
DEBUG_CUTSCENES_COMMANDS_COND_BRANCH,Bedingte Verzweigung,Conditional Branch
DEBUG_CUTSCENES_COMMANDS_MATCH,Match,Match
DEBUG_CUTSCENES_COMMANDS_LOOP,Schleife,Loop
DEBUG_CUTSCENES_COMMANDS_SUB_PROCESS,Sub-Prozess,Sub Process
DEBUG_CUTSCENES_COMMANDS_WAIT_FOR_SUB_PROCESS,Auf Sub-Prozess Warten,Wait For Sub Process
DEBUG_CUTSCENES_COMMANDS_EXIT_CUTSCENE,Cutscene Beenden,Exit Cutscene
DEBUG_CUTSCENES_COMMANDS_WAIT,Warten,Wait
DEBUG_CUTSCENES_COMMANDS_CHANGE_ITEM_AMOUNT,Item Anzahl Ändern,Change Item Amount
DEBUG_CUTSCENES_COMMANDS_CHANGE_EQUIPABLE,Ausrüstbares Ändern,Change Equipable
DEBUG_CUTSCENES_COMMANDS_PLAY_AUDIO,Audio Abspielen,Play Audio
DEBUG_CUTSCENES_COMMANDS_SCRIPT,Skript,Script
DEBUG_CUTSCENES_COMMANDS_CHANGE_STATE,Zustand Ändern,Change State
DEBUG_CUTSCENES_COMMANDS_SHOW_DIALOGUE,Dialog Anzeigen,Show Dialogue
DEBUG_CUTSCENES_COMMANDS_SHOW_POPUP,Popup Anzeigen,Show Popup
DEBUG_CUTSCENES_COMMANDS_SHOW_OVERLAY,Overlay Anzeigen,Show Overlay
DEBUG_CUTSCENES_COMMANDS_TELEPORT,Teleportieren,Teleport
DEBUG_CUTSCENES_COMMANDS_CHANGE_VISIBILITY,Sichtbarkeit Ändern,Change Visibility
DEBUG_CUTSCENES_COMMANDS_COMMENT,Kommentar,Comment
DEBUG_CUTSCENES_COMMANDS_DEFAULT_OBJECT_KEY,Standard Objekt-Schlüssel,Default Object Key
DEBUG_CUTSCENES_COMMANDS_DISABLE_OBJECT,Objekt Deaktivieren,Disable Object
DEBUG_CUTSCENES_COMMANDS_CHANGE_CUTSCENE_ARGS,Cutscene Args Ändern,Change Cutscene Args
DEBUG_CUTSCENES_COMMANDS_CHANGE_DIALOGUE_ARGS,Dialog Args Ändern,Change Dialogue Args
DEBUG_CUTSCENES_COMMANDS_CHANGE_CUTSCENE_ARGS_IDX,Cutscene Args Idx Ändern,Change Cutscene Args Idx
DEBUG_CUTSCENES_COMMANDS_CHANGE_DIALOGUE_ARGS_IDX,Dialog Args Idx Ändern,Change Dialogue Args Idx
DEBUG_CUTSCENES_COMMANDS_CHANGE_COINS_AMOUNT,Anzahl Münzen Ändern,Change Coins Amount
DEBUG_CUTSCENES_GRID_STEP,Schritt,Step
DEBUG_CUTSCENES_GRID_OFFSET,Versatz,Offset
DEBUG_CUTSCENES_PROCESS_TYPE,Prozess-Typ,Process Type
DEBUG_CUTSCENES_PROCESS_TYPE_MAIN,Main,Main
DEBUG_CUTSCENES_PROCESS_TYPE_SUB,Sub,Sub
DEBUG_CUTSCENES_PROCESS_TYPE_MANUAL,Manuell,Manual
DEBUG_CUTSCENES_KEY_TYPE,Schlüssel-Typ,Key Type
DEBUG_CUTSCENES_KEY_TYPE_MAP,Karte,Map
DEBUG_CUTSCENES_KEY_TYPE_GLOBAL,Global,Global
DEBUG_CUTSCENES_FADE_OUT,Ausblenden,Fade Out
DEBUG_CUTSCENES_CHARACTER,Charakter,Character
DEBUG_CUTSCENES_OBJECT,Objekt,Object
DEBUG_CUTSCENES_START_OBJECT,Start-Objekt,Start-Object
DEBUG_CUTSCENES_END_OBJECT,End-Objekt,End-Object
DEBUG_CUTSCENES_CHAPTER,Kapitel,Chapter
DEBUG_CUTSCENES_LOCATION,Ort,Location
DEBUG_CUTSCENES_CHANGE_CAMERA,Kamera Ändern,Change Camera
DEBUG_CUTSCENES_STATE,Zustand,State
DEBUG_CUTSCENES_STATE_STOP,Stopp,Stop
DEBUG_CUTSCENES_STATE_IDLE,Idle,Idle
DEBUG_CUTSCENES_STATE_WALK,Laufen,Walk
DEBUG_CUTSCENES_STATE_RUN,Rennen,Run
DEBUG_CUTSCENES_STATE_JUMP,Springen,Jump
DEBUG_CUTSCENES_STATE_FALL,Fallen,Fall
DEBUG_CUTSCENES_SPEED,Geschwindigkeit,Speed
DEBUG_CUTSCENES_SPEED_VERY_SLOW,Sehr Langsam,Very Slow
DEBUG_CUTSCENES_SPEED_SLOW,Langsam,Slow
DEBUG_CUTSCENES_SPEED_NORMAL,Normal,Normal
DEBUG_CUTSCENES_SPEED_FAST,Schnell,Fast
DEBUG_CUTSCENES_SPEED_VERY_FAST,Sehr Schnell,Very Fast
DEBUG_CUTSCENES_WAIT_FINISH,Bis Ende warten,Wait till finish
DEBUG_CUTSCENES_TYPE,Typ,Type
DEBUG_CUTSCENES_TYPE_FIXED_DIR,Feste Richtung,Fixed Direction
DEBUG_CUTSCENES_TYPE_LOOK_AT,Angucken,Look At
DEBUG_CUTSCENES_TYPE_LOOK_AWAY,Weggucken,Look Away
DEBUG_CUTSCENES_TYPE_LOOK_DEGREES,Um Grad Drehen,Turn By Degrees
DEBUG_CUTSCENES_TYPE_MOVE_ROUTE,Bewegungsroute,Move Route
DEBUG_CUTSCENES_TYPE_OBJECT_TO_OBJECT,Objekt zu Objekt,Object To Object
DEBUG_CUTSCENES_TYPE_OBJECT_TO_POINT,Objekt zu Punkt,Object To Point
DEBUG_CUTSCENES_TYPE_STATIC,Statisch,Static
DEBUG_CUTSCENES_TYPE_OBJECT,Objekt,Object
DEBUG_CUTSCENES_TYPE_POINT,Punkt,Point
DEBUG_CUTSCENES_TYPE_EXCLAMATION,Ausruf,Exclamation
DEBUG_CUTSCENES_TYPE_QUESTION,Frage,Question
DEBUG_CUTSCENES_TYPE_SPEECH,Sprache,Speech
DEBUG_CUTSCENES_TYPE_MAP,Karte,Map
DEBUG_CUTSCENES_TYPE_BATTLE,Kampf,Battle
DEBUG_CUTSCENES_TYPE_EQUIP,Ausrüsten,Equip
DEBUG_CUTSCENES_TYPE_UNEQUIP,Ablegen,Unequip
DEBUG_CUTSCENES_TYPE_SET,Setzen,Set
DEBUG_CUTSCENES_TYPE_INCREASE,Erhöhen,Increase
DEBUG_CUTSCENES_TYPE_DECREASE,Verringern,Decrease
DEBUG_CUTSCENES_TRANS_TYPE,Übergangs-Typ,Transition Type
DEBUG_CUTSCENES_TRANS_TYPE_LINEAR,Linear,Linear
DEBUG_CUTSCENES_TRANS_TYPE_SINE,Sinus,Sine
DEBUG_CUTSCENES_TRANS_TYPE_QUINT,Quint,Quint
DEBUG_CUTSCENES_TRANS_TYPE_QUART,Quart,Quart
DEBUG_CUTSCENES_TRANS_TYPE_QUAD,Quad,Quad
DEBUG_CUTSCENES_TRANS_TYPE_EXPO,Expo,Expo
DEBUG_CUTSCENES_TRANS_TYPE_ELASTIC,Elastisch,Elastic
DEBUG_CUTSCENES_TRANS_TYPE_CUBIC,Kubisch,Cubic
DEBUG_CUTSCENES_TRANS_TYPE_CIRC,Circ,Circ
DEBUG_CUTSCENES_TRANS_TYPE_BOUNCE,Bounce,Bounce
DEBUG_CUTSCENES_TRANS_TYPE_BACK,Back,Back
DEBUG_CUTSCENES_EASE_TYPE,Ease-Typ,Ease Type
DEBUG_CUTSCENES_EASE_TYPE_IN,In,In
DEBUG_CUTSCENES_EASE_TYPE_OUT,Out,Out
DEBUG_CUTSCENES_EASE_TYPE_IN_OUT,In-Out,In-Out
DEBUG_CUTSCENES_EASE_TYPE_OUT_IN,Out-In,Out-In
DEBUG_CUTSCENES_DIR,Richtung,Direction
DEBUG_CUTSCENES_DIR_DOWN,Unten,Down
DEBUG_CUTSCENES_DIR_LEFT,Links,Left
DEBUG_CUTSCENES_DIR_RIGHT,Rechts,Right
DEBUG_CUTSCENES_DIR_UP,Oben,Up
DEBUG_CUTSCENES_INTERPOLATE,Interpolieren,Interpolate
DEBUG_CUTSCENES_POINT,Punkt,Point
DEBUG_CUTSCENES_DEGREES,Grad,Degrees
DEBUG_CUTSCENES_DEGREES_90,90°,90°
DEBUG_CUTSCENES_DEGREES_180,180°,180°
DEBUG_CUTSCENES_DEGREES_270,270°,270°
DEBUG_CUTSCENES_KEEP_DIR,Richtung beibehalten,Keep Direction
DEBUG_CUTSCENES_BACKWARDS,Rückwärts,Backwards
DEBUG_CUTSCENES_ANIM,Animation,Animation
DEBUG_CUTSCENES_ELSE_BRANCH,Else-Verzweigung,Else-Branch
DEBUG_CUTSCENES_AMOUNT,Anzahl,Amount
DEBUG_CUTSCENES_IF,Wenn,If
DEBUG_CUTSCENES_ELSE,Ansonsten,Else
DEBUG_CUTSCENES_END,Ende,End
DEBUG_CUTSCENES_BRANCHES,Verzweigungen,Branches
DEBUG_CUTSCENES_ITEMS,Items,Items
DEBUG_CUTSCENES_SCRIPT,Script,Script
DEBUG_CUTSCENES_MATCH,Match,Match
DEBUG_CUTSCENES_FOR,For,For
DEBUG_CUTSCENES_WHILE,While,While
DEBUG_CUTSCENES_IDX,Index,Index
DEBUG_CUTSCENES_ID,ID,ID
DEBUG_CUTSCENES_START,Start,Start
DEBUG_CUTSCENES_STEP,Schritt,Step
DEBUG_CUTSCENES_BACKGROUND_COLOR,Hintergrundfarbe,Background Color
DEBUG_CUTSCENES_TRANS,Übergang,Transition
DEBUG_CUTSCENES_MASK,Maske,Mask
DEBUG_CUTSCENES_VISIBLE,Sichtbar,Visible
DEBUG_CUTSCENES_AUDIO,Audio,Audio
DEBUG_CUTSCENES_AUDIO_TYPE,Audio-Typ,Audio Type
DEBUG_CUTSCENES_AUDIO_TYPE_BGM,BGM,BGM
DEBUG_CUTSCENES_AUDIO_TYPE_SFX,SFX,SFX
DEBUG_CUTSCENES_AUDIO_TYPE_BGS,BGS,BGS
DEBUG_CUTSCENES_VOLUME,Lautstärke,Volume
DEBUG_CUTSCENES_PITCH,Tonhöhe,Pitch
DEBUG_CUTSCENES_MAX_DISTANCE,Maximale Distanz,Maximum Distance
DEBUG_CUTSCENES_ATTENUATION,Dämpfung,Attenuation
DEBUG_CUTSCENES_COMP,Komponente,Component
DEBUG_CUTSCENES_PROPERTY,Eigenschaft,Property
DEBUG_CUTSCENES_VALUE,Wert,Value
DEBUG_CUTSCENES_START_VALUE,Start-Wert,Start Value
DEBUG_CUTSCENES_END_VALUE,End-Wert,End Value
DEBUG_CUTSCENES_START_IDX,Start-Idx,Start Idx
DEBUG_CUTSCENES_END_IDX,End-Idx,End Idx
DEBUG_CUTSCENES_LAYER,Ebene,Layer
DEBUG_CUTSCENES_DURATION,Dauer,Duration
DEBUG_CUTSCENES_TELEPORTATIONS,Teleportationen,Teleportations
DEBUG_CUTSCENES_DESTINATIONS,Ziele,Destinations
DEBUG_CUTSCENES_HANDLE_LOST_BATTLE,Verlorenen Kampf Behandeln,Handle Lost Battle
DEBUG_CUTSCENES_BATTLE_WON,Kampf Gewonnen,Battle Won
DEBUG_CUTSCENES_BATTLE_LOST,Kampf Verloren,Battle Lost
DEBUG_CUTSCENES_EQUIPABLE,Ausrüstbar,Equipable
DEBUG_CUTSCENES_EQUIPABLE_GROUP,Ausrüstbar-Gruppe,Equipable Group
DEBUG_CUTSCENES_EQUIPABLE_GROUP_HEAD,Kopf,Head
DEBUG_CUTSCENES_EQUIPABLE_GROUP_TORSO,Torso,Torso
DEBUG_CUTSCENES_EQUIPABLE_GROUP_LEGS,Beine,Legs
DEBUG_CUTSCENES_EQUIPABLE_GROUP_FEET,Füße,Feet
DEBUG_CUTSCENES_EQUIPABLE_GROUP_WEAPON,Waffe,Weapon
DEBUG_CUTSCENES_EQUIPABLE_GROUP_SHIELD,Schild,Shield
DEBUG_CUTSCENES_GAIN,Erhalten,Gain
DEBUG_CUTSCENES_LOSE,Verlieren,Lose
DEBUG_CUTSCENES_DISABLE,Deaktivieren,Disable
DEBUG_CUTSCENES_ENABLE,Aktivieren,Enable
DEBUG_CUTSCENES_CLEAR,Löschen,Clear
DEBUG_CUTSCENES_ITEM_KEY,Item-Schlüssel,Item Key
DEBUG_CUTSCENES_TIME,Zeit,Time
DEBUG_UPPER_LEFT,Oben links,Upper left
DEBUG_UPPER_RIGHT,Oben rechts,Upper right
DEBUG_LOWER_LEFT,Unten links,Lower left
DEBUG_LOWER_RIGHT,Unten rechts,Lower right
DEBUG_CHOICE_ADD,Auswahl hinzufügen:,Add choice:
DEBUG_FIX_WARNINGS,Warnungen Beheben,Fix Warnings
DEBUG_OLD_VALUE,Alter Wert:,Old Value:
DEBUG_NEW_VALUE,Neuer Wert:,New Value:
PROGRESS_CHAPTER_1_NAME,Ein Fest für einen Helden,A festival for a hero
PROGRESS_PIN_NO_PINS,Noch nichts angepinnt...,Nothing pinned yet...
PROGRESS_QUEST_TYPE_MAIN,Hauptquest,Main Quest
PROGRESS_QUEST_TYPE_MAIN_SUB,Hauptquest,Main Quest
PROGRESS_QUEST_TYPE_SIDE,Nebenquest,Side Quest
PROGRESS_QUEST_TYPE_SIDE_SUB,Nebenquest,Side Quest
PROGRESS_QUEST_INFO_REWARDS,Belohnungen,Rewards
PROGRESS_QUEST_INFO_STATUS_START,Begonnen,Started
PROGRESS_QUEST_INFO_STATUS_COMPLETED,Abgeschlossen,Completed
PROGRESS_LOOT_INFO_HEADING,Loot erhalten!,Loot obtained!
PROGRESS_QUESTS_BROKO_TOWN_1_MAIN_GREAT_FESTIVAL_NAME,Das große Broko Town Festival,The great Broko Town festival
PROGRESS_QUESTS_BROKO_TOWN_1_MAIN_GREAT_FESTIVAL_DESC,"Die Dorfbewohner von Broko Town haben sich mächtig Mühe gegeben, um eine Fete für ihren Helden Dr. Nutman zu schmeißen. Es wäre also nur fair, sich alle Attraktionen anzusehen.",The villagers of Broko Town have gone to great lengths to throw a party for their hero Dr. Nutman. So it would only be fair to check out all the attractions.
PROGRESS_QUESTS_BROKO_TOWN_1_MAIN_A_CHILD_FOR_A_BALLOON_NAME,Ein Kind für einen Ballon,A child for a balloon
PROGRESS_QUESTS_BROKO_TOWN_1_MAIN_A_CHILD_FOR_A_BALLOON_DESC,"Der Ballon-Verkäufer ist etwas enttäuscht: Eigentlich wollte er seine Ballons an die Kinder in Broko-Town verteilen, aber bis jetzt ist noch keines vorbeigekommen. Also muss Dr. Nutman losgehen um die Ballons zu verteilen...","The balloon seller is a little disappointed: he actually wanted to distribute his balloons to the children in Broko Town, but none have come by yet. So Dr. Nutman has to go out to distribute the balloons..."
PROGRESS_QUESTS_BROKO_TOWN_1_MAIN_A_CHILD_FOR_A_BALLOON_OBJECTIVE_CHILDREN,Kinder beschenkt,Balloons delivered
PROGRESS_QUESTS_BROKO_TOWN_1_MAIN_RIGHT_ON_THE_NUT_NAME,Voll auf die Nuss,Right on the nut
PROGRESS_QUESTS_BROKO_TOWN_1_MAIN_RIGHT_ON_THE_NUT_DESC,"Die Dorfbewohner von Broko Town haben eine ganz fabelhafte Maschine organisiert bekommen: Den Voll auf die Nuss! Es wäre doch gelacht, wenn man damit nicht ein paar Nüsse knacken kann...",The villagers of Broko Town have organized a fabulous machine: The Right on the nut! It would be ridiculous if you couldn't crack a few nuts with it...
PROGRESS_QUESTS_BROKO_TOWN_1_MAIN_RIGHT_ON_THE_NUT_OBJECTIVE_FIND_NUTS,Nüsse gefunden,Nuts found
PROGRESS_QUESTS_BROKO_TOWN_1_MAIN_RIGHT_ON_THE_NUT_OBJECTIVE_CRACK_NUTS,Nüsse geknackt,Nuts cracked
PROGRESS_QUESTS_BROKO_TOWN_1_MAIN_AN_UPLIFTING_NUT_NAME,Eine erhebende Nuss,An uplifting nut
PROGRESS_QUESTS_BROKO_TOWN_1_MAIN_AN_UPLIFTING_NUT_DESC,"Auf der südlichen Wiese in Broko Town treiben sich ein paar raffinierte Hörnchen herum. Sie lassen sich in die Luft heben, wenn man ihnen dafür eine Nuss gibt...",There are a few sneaky squirrels hanging around on the southern meadow in Broko Town. They can be lifted into the air if you give them a nut in return...
PROGRESS_QUESTS_BROKO_TOWN_1_MAIN_AN_UPLIFTING_NUT_OBJECTIVE_CRACK_NUTS,Nüsse geknackt,Nuts cracked
PROGRESS_QUESTS_BROKO_TOWN_1_MAIN_AN_UPLIFTING_NUT_OBJECTIVE_LIFT_SQUIRRELS,Hörnchen gehoben,Squirrels lifted
LOCALE_DE,Deutsch,Deutsch
LOCALE_EN,English,English
MINIGAMES_CONTROLS,Steuerung,Controls
MINIGAMES_COLOR_SELECTION_HEADING,[center][wave amp=50 freq=2]F[color=red]a[/color]rb[color=green]a[/color]usw[color=blue]a[/color]hl,[center][wave amp=50 freq=2]C[color=red]o[/color]l[color=green]o[/color]r Selecti[color=blue]o[/color]n
MINIGAMES_COLOR_SELECTION_DESC,"Bestimme deine Lieblingsfarbe!\n\nDer Assistent wird abwechselnd Farbe von oben in den Trichter spritzen. Deine Aufgabe ist es, mithilfe der Flipper, die Farbe im Krug so zu mischen, dass am Ende deine Lieblingsfarbe entsteht.",Choose your favourite color!\n\nThe assistant will take turns squirting paint from the top into the funnel. Your task is to use the flippers to mix the paint in the jug so that in the end your favorite color is created.
MINIGAMES_COLOR_SELECTION_CONTROL_FLIPPERS,Flipper steuern,Control flippers
MINIGAMES_COLOR_SELECTION_MOVE_CAMERA,Kamera bewegen,Move camera
MINIGAMES_COLOR_SELECTION_COUNTDOWN_3,3,3
MINIGAMES_COLOR_SELECTION_COUNTDOWN_2,2,2
MINIGAMES_COLOR_SELECTION_COUNTDOWN_1,1,1
MINIGAMES_COLOR_SELECTION_COUNTDOWN_GO,Los!,Go!
MINIGAMES_COLOR_SELECTION_NEXT_COLOR,Nächste Farbe :,Next Color :
MINIGAMES_COLOR_SELECTION_RESULT,Ergebnis,Result
MINIGAMES_COLOR_SELECTION_ISTHATFAVCOLOR,[center]Ist [wave amp=20 freq=5]das[/wave] Ihre Lieblingsfarbe?,[center]Is [wave amp=20 freq=5]that[/wave] your favourite color?
MINIGAMES_COLOR_SELECTION_PREVCOLORS,Vorherige Farben,Previous Colors
MINIGAMES_COLOR_SELECTION_PREVCOLORS_NEW,[rainbow freq=0.5 sat=4 val=20][wave amp=20 freq=1]NEU,[rainbow freq=0.5 sat=4 val=20][wave amp=20 freq=1]NEW
MINIGAMES_RIGHT_ON_THE_NUT_HEADING,[center][wave amp=50 freq=2][rainbow freq=0.3 sat=0.8 val=1]Voll[/rainbow] Auf Die Nuss,[center][wave amp=50 freq=2][rainbow freq=0.3 sat=0.8 val=1]Right[/rainbow] On The Nut
MINIGAMES_RIGHT_ON_THE_NUT_DESC,Lass es mal so richtig knacken! Nur mit dem richtigen Timing kann die ungeknackte Nuss bis zum Nussknacker gelangen.,Let it crack on! Only with the right timing can the uncracked nut reach the nutcracker.
MINIGAMES_RIGHT_ON_THE_NUT_CONFIRM_TIMING,Timing bestätigen,Confirm timing
MINIGAMES_SQUIRREL_FISHING_HEADING,[center][wave amp=50 freq=2]Hörnchenangeln,[center][wave amp=50 freq=2]Squirrel Fishing
MINIGAMES_SQUIRREL_FISHING_DESC,"Dr. Nutman kann mit seinen geknackten Erdnüssen flauschige Hörnchen angeln. Das Ziel ist es hierbei das Hörnchen mit seinem gesamten Körpergewicht vom Boden in die Luft zu heben, während es die Nuss festhält. Doch auch das Hörnchen weiß, wie dieses Spiel gespielt wird...",Dr. Nutman can fish for fluffy squirrels with his cracked peanuts. The aim is to lift the squirrel from the ground into the air with its entire body weight while it is holding on to the nut. But the squirrel also knows how to play this game...
MINIGAMES_SQUIRREL_FISHING_CONFIRM_TIMING,Timing bestätigen,Confirm timing
NUTOS_APP_COLOR_SELECTION,Farbauswahl,Color Selection
NUTOS_APP_SETTINGS,Einstellungen,Settings
NUTOS_APP_SETTINGS_OPTIONS_APPS_HEADING,Apps,Apps
NUTOS_APP_SETTINGS_OPTIONS_APPS_DESC,Apps verwalten,Manage apps
NUTOS_APP_SETTINGS_OPTIONS_KEYBOARD_HEADING,Tastatur,Keyboard
NUTOS_APP_SETTINGS_OPTIONS_KEYBOARD_DESC,Aussehen der Tastatur anpassen,Customize the look of the keyboard
NUTOS_APP_SETTINGS_OPTIONS_BACKGROUND_HEADING,Hintergrund,Background
NUTOS_APP_SETTINGS_OPTIONS_BACKGROUND_DESC,Hintergrundbild anpassen,Customize the background image
NUTOS_APP_APP_MANAGER,App Manager,App Manager
NUTOS_ON_OFF,Ein/Aus,On/Off
NUTOS_ADDED_LASTLY,Zuletzt Hinzugefügt,Added Lastly
DISK_DRIVE_HEADING,Disk-Laufwerk,Disk Drive
TUTATO_HI,Hi!,Hi!
COLORS,Farben,Colors
AVAILABLE,Verfügbar,Available
STATIC,Statisch,Static
PATTERN,Muster,Pattern
CUSTOM,Benutzerdefiniert,Custom
NEW,Neu,New
OK,Ok,Ok
CANCEL,Abbrechen,Cancel
YES,Ja,Yes
NO,Nein,No
SHOW,Zeigen,Show
HIDE,Verstecken,Hide
SAVE,Speichern,Save
LOAD,Laden,Load
LOADING,Laden,Loading
BACK,Zurück,Back
CLOSE,Schließen,Close
DELETE,Löschen,Delete
SELECT,Auswählen,Select
PROCEED,Fortfahren,Proceed
ADD,Hinzufügen,Add
PLAYAGAIN,Nochmal Spielen,Play Again
SEARCH,Suche,Search
PREVIEW,Vorschau,Preview
REPEAT,Wiederholen,Repeat
CHOICES,Auswahlen,Choices
WAIT,Warten,Wait
NONE,Keine,None
SECONDS,Sekunden,Seconds
START,Beginnen,Start
CREDITS,Credits,Credits
QUIT,Beenden,Quit
FULLSCREEN,Vollbild,Fullscreen
THREEDOTS,...,...
LVL,Lvl,Lvl
EXP,EXP,EXP
USE,Benutzen,Use
PIN,Anpinnen,Pin
PINNED,Angepinnt,Pinned
INSTALL,Installieren,Install
UNINSTALL,Deinstallieren,Uninstall
ROTATE_LEFT,Links Drehen,Rotate Left
ROTATE_RIGHT,Rechts Drehen,Rotate Right
COLOR_RED,Rot,Red
COLOR_GREEN,Grün,Green
COLOR_DARK_BLUE,Dunkelblau,Dark Blue
COLOR_ORANGE,Orange,Orange
COLOR_PURPLE,Lila,Purple
COLOR_LIGHT_BLUE,Hellblau,Light Blue
COLOR_PINK,Rosa,Pink
STAT_HP,Lebenspunkte,Health Points
